,Open,High,Low,Close,Volume,Adj. Close,Date Time
2022-04-04 09:30:00,453.0,453.0799865722656,452.260009765625,452.3699951171875,1790682,452.3699951171875,2022-04-04 09:30:00
2022-04-04 09:35:00,452.3599853515625,452.8999938964844,452.3299865722656,452.51019287109375,787188,452.51019287109375,2022-04-04 09:35:00
2022-04-04 09:40:00,452.54998779296875,453.4100036621094,452.54998779296875,453.19000244140625,924062,453.19000244140625,2022-04-04 09:40:00
2022-04-04 09:45:00,453.19000244140625,453.3450012207031,452.6499938964844,453.29998779296875,675058,453.29998779296875,2022-04-04 09:45:00
2022-04-04 09:50:00,453.30999755859375,454.1099853515625,453.29998779296875,454.0621032714844,1116587,454.0621032714844,2022-04-04 09:50:00
2022-04-04 09:55:00,454.05999755859375,454.70001220703125,454.04998779296875,454.5199890136719,1286942,454.5199890136719,2022-04-04 09:55:00
2022-04-04 10:00:00,454.5,454.6400146484375,454.3500061035156,454.54998779296875,1039024,454.54998779296875,2022-04-04 10:00:00
2022-04-04 10:05:00,454.55999755859375,454.67999267578125,454.3399963378906,454.42999267578125,866709,454.42999267578125,2022-04-04 10:05:00
2022-04-04 10:10:00,454.4100036621094,454.6700134277344,454.0,454.1400146484375,803254,454.1400146484375,2022-04-04 10:10:00
2022-04-04 10:15:00,454.1400146484375,454.1499938964844,453.4599914550781,454.0799865722656,735873,454.0799865722656,2022-04-04 10:15:00
2022-04-04 10:20:00,454.0899963378906,454.6698913574219,454.010009765625,454.5799865722656,707752,454.5799865722656,2022-04-04 10:20:00
2022-04-04 10:25:00,454.5899963378906,454.8800048828125,454.4200134277344,454.8299865722656,752547,454.8299865722656,2022-04-04 10:25:00
2022-04-04 10:30:00,454.8399963378906,454.8949890136719,454.55999755859375,454.5899963378906,683814,454.5899963378906,2022-04-04 10:30:00
2022-04-04 10:35:00,454.5899963378906,454.95001220703125,454.29998779296875,454.760009765625,834427,454.760009765625,2022-04-04 10:35:00
2022-04-04 10:40:00,454.760009765625,454.7900085449219,454.18280029296875,454.2200012207031,512422,454.2200012207031,2022-04-04 10:40:00
2022-04-04 10:45:00,454.2200927734375,454.7099914550781,454.0799865722656,454.5799865722656,501960,454.5799865722656,2022-04-04 10:45:00
2022-04-04 10:50:00,454.5899963378906,454.739990234375,454.3699951171875,454.3699951171875,687357,454.3699951171875,2022-04-04 10:50:00
