,Open,High,Low,Close,Volume,Adj. Close,Date Time
2022-04-05 09:30:00,455.2200012207031,455.8900146484375,455.0299987792969,455.6400146484375,1105086,455.6400146484375,2022-04-05 09:30:00
2022-04-05 09:31:00,455.67999267578125,456.2300109863281,455.6499938964844,456.19000244140625,234839,456.19000244140625,2022-04-05 09:31:00
2022-04-05 09:32:00,456.20001220703125,456.44000244140625,456.20001220703125,456.2539978027344,306691,456.2539978027344,2022-04-05 09:32:00
2022-04-05 09:33:00,456.260009765625,456.3699951171875,456.1099853515625,456.3550109863281,225675,456.3550109863281,2022-04-05 09:33:00
2022-04-05 09:34:00,456.3500061035156,456.55999755859375,456.30999755859375,456.4750061035156,217079,456.4750061035156,2022-04-05 09:34:00
2022-04-05 09:35:00,456.4700012207031,456.8999938964844,456.4599914550781,456.7799987792969,415333,456.7799987792969,2022-04-05 09:35:00
2022-04-05 09:36:00,456.7699890136719,456.82000732421875,456.45001220703125,456.4800109863281,255039,456.4800109863281,2022-04-05 09:36:00
2022-04-05 09:37:00,456.4800109863281,456.760009765625,456.45001220703125,456.6300964355469,182466,456.6300964355469,2022-04-05 09:37:00
2022-04-05 09:38:00,456.6400146484375,456.8500061035156,456.5899963378906,456.8399963378906,178499,456.8399963378906,2022-04-05 09:38:00
2022-04-05 09:39:00,456.8299865722656,456.9800109863281,456.739990234375,456.8699951171875,168414,456.8699951171875,2022-04-05 09:39:00
2022-04-05 09:40:00,456.8699951171875,457.17999267578125,456.8599853515625,456.9200134277344,309083,456.9200134277344,2022-04-05 09:40:00
2022-04-05 09:41:00,457.0400085449219,457.0400085449219,457.0400085449219,457.0400085449219,150436,457.0400085449219,2022-04-05 09:41:00
2022-04-05 09:42:00,457.04998779296875,457.04998779296875,456.8299865722656,456.8699951171875,144431,456.8699951171875,2022-04-05 09:42:00
2022-04-05 09:43:00,456.8599853515625,456.9800109863281,456.7799987792969,456.8800048828125,141078,456.8800048828125,2022-04-05 09:43:00
2022-04-05 09:44:00,456.8598937988281,457.0299987792969,456.7699890136719,456.8028869628906,135363,456.8028869628906,2022-04-05 09:44:00
