,Open,High,Low,Close,Volume,Adj. Close,Date
2021-04-30,56.0,57.630001068115234,55.04999923706055,55.220001220703125,88378800,55.220001220703125,2021-04-30
2021-05-03,55.52000045776367,55.54999923706055,52.66999816894531,54.58000183105469,79649000,54.58000183105469,2021-05-03
2021-05-04,55.06999969482422,55.720001220703125,53.15999984741211,54.400001525878906,30404500,54.400001525878906,2021-05-04
2021-05-05,54.95000076293945,54.970001220703125,53.31999969482422,53.560001373291016,19111100,53.560001373291016,2021-05-05
2021-05-06,53.47999954223633,53.84000015258789,52.34000015258789,53.810001373291016,19586900,53.810001373291016,2021-05-06
2021-05-07,54.77000045776367,54.91999816894531,53.369998931884766,53.790000915527344,21748600,53.790000915527344,2021-05-07
2021-05-10,53.0099983215332,53.08000183105469,51.619998931884766,51.810001373291016,17362300,51.810001373291016,2021-05-10
2021-05-11,49.52000045776367,53.189998626708984,49.20000076293945,52.880001068115234,16749900,52.880001068115234,2021-05-11
2021-05-12,51.869998931884766,52.380001068115234,50.060001373291016,50.70000076293945,17223200,50.70000076293945,2021-05-12
2021-05-13,51.68000030517578,51.77000045776367,49.119998931884766,50.11000061035156,14303900,50.11000061035156,2021-05-13
2021-05-14,50.61000061035156,51.91999816894531,50.189998626708984,51.72999954223633,9836800,51.72999954223633,2021-05-14
2021-05-17,52.22999954223633,52.72999954223633,51.279998779296875,52.599998474121094,21351700,52.599998474121094,2021-05-17
2021-05-18,52.599998474121094,55.150001525878906,52.41999816894531,53.189998626708984,23612300,53.189998626708984,2021-05-18
2021-05-19,52.189998626708984,53.15999984741211,51.66999816894531,52.91999816894531,21551300,52.91999816894531,2021-05-19
2021-05-20,53.22999954223633,54.90999984741211,53.220001220703125,54.709999084472656,12612700,54.709999084472656,2021-05-20
2021-05-21,55.0,55.0001,53.939998626708984,54.45000076293945,12583400,54.45000076293945,2021-05-21
2021-05-24,54.900001525878906,57.33000183105469,54.65999984741211,57.060001373291016,25656400,57.060001373291016,2021-05-24
2021-05-25,57.349998474121094,57.63999938964844,56.540000915527344,57.0,13488900,57.0,2021-05-25
2021-05-26,57.369998931884766,58.61000061035156,57.310001373291016,57.849998474121094,15984400,57.849998474121094,2021-05-26
2021-05-27,57.63999938964844,58.29999923706055,57.029998779296875,58.08000183105469,9113900,58.08000183105469,2021-05-27
2021-05-28,58.20000076293945,58.560001373291016,57.83000183105469,58.0,8752700,58.0,2021-05-28
2021-06-01,58.20000076293945,58.200100762939456,56.27000045776367,57.439998626708984,13122700,57.439998626708984,2021-06-01
2021-06-02,57.279998779296875,57.63999938964844,56.31999969482422,57.15999984741211,9472900,57.15999984741211,2021-06-02
2021-06-03,56.959999084472656,58.66999816894531,55.83000183105469,57.0099983215332,21985700,57.0099983215332,2021-06-03
2021-06-04,57.40999984741211,59.29999923706055,57.31999969482422,59.0,12256100,59.0,2021-06-04
2021-06-07,58.619998931884766,59.83000183105469,57.720001220703125,59.630001068115234,10538600,59.630001068115234,2021-06-07
2021-06-08,59.790000915527344,60.09000015258789,57.81999969482422,58.810001373291016,12772900,58.810001373291016,2021-06-08
2021-06-09,59.59000015258789,61.04999923706055,59.40999984741211,59.709999084472656,16163600,59.709999084472656,2021-06-09
2021-06-10,59.79999923706055,60.380001068115234,58.7400016784668,60.29999923706055,8717500,60.29999923706055,2021-06-10
2021-06-11,59.95000076293945,60.630001068115234,59.869998931884766,60.5,6980400,60.5,2021-06-11
2021-06-14,60.849998474121094,61.54999923706055,60.45000076293945,60.83000183105469,9316600,60.83000183105469,2021-06-14
2021-06-15,61.09000015258789,61.31999969482422,60.189998626708984,60.22999954223633,9579900,60.22999954223633,2021-06-15
2021-06-16,60.119998931884766,61.150001525878906,59.150001525878906,59.93000030517578,9336500,59.93000030517578,2021-06-16
2021-06-17,59.61000061035156,61.619998931884766,59.529998779296875,60.709999084472656,10201300,60.709999084472656,2021-06-17
2021-06-18,60.20000076293945,60.970001220703125,59.529998779296875,60.849998474121094,13273000,60.849998474121094,2021-06-18
2021-06-21,60.849998474121094,62.09000015258789,59.7400016784668,61.959999084472656,12027100,61.959999084472656,2021-06-21
2021-06-22,61.91999816894531,64.05000305175781,61.90999984741211,63.779998779296875,16686200,63.779998779296875,2021-06-22
2021-06-23,63.90999984741211,66.7699966430664,63.790000915527344,66.48999786376953,18548000,66.48999786376953,2021-06-23
2021-06-24,66.75,68.73999786376953,66.7499,68.25,23144800,68.25,2021-06-24
2021-06-25,68.29000091552734,68.91999816894531,67.27999877929688,67.93000030517578,13896900,67.93000030517578,2021-06-25
2021-06-28,68.16000366210938,68.62999725341797,67.08000183105469,68.29000091552734,11176100,68.29000091552734,2021-06-28
2021-06-29,68.27999877929688,69.37999725341797,67.93000030517578,69.0,9526400,69.0,2021-06-29
2021-06-30,68.76000213623047,69.12000274658203,68.25,68.80999755859375,9752900,68.80999755859375,2021-06-30
2021-07-01,68.56999969482422,70.0,67.37000274658203,68.11000061035156,9978800,68.11000061035156,2021-07-01
2021-07-02,68.70999908447266,69.29000091552734,68.43000030517578,69.19999694824219,8095600,69.19999694824219,2021-07-02
2021-07-06,69.3499984741211,70.93000030517578,69.2300033569336,70.20999908447266,12317400,70.20999908447266,2021-07-06
2021-07-07,70.62999725341797,70.8499984741211,68.70999908447266,68.76000213623047,10609300,68.76000213623047,2021-07-07
2021-07-08,67.0,67.61000061035156,66.23999786376953,66.83000183105469,12782500,66.83000183105469,2021-07-08
2021-07-09,67.06999969482422,69.01000213623047,66.9800033569336,68.97000122070312,14393700,68.97000122070312,2021-07-09
2021-07-12,69.45999908447266,70.44000244140625,68.80000305175781,69.86000061035156,9223600,69.86000061035156,2021-07-12
2021-07-13,69.54000091552734,70.87000274658203,69.26000213623047,69.5999984741211,9992700,69.5999984741211,2021-07-13
2021-07-14,70.41999816894531,72.06999969482422,70.08999633789062,70.2699966430664,21555900,70.2699966430664,2021-07-14
2021-07-15,70.0999984741211,70.16000366210938,67.41000366210938,68.06999969482422,14933800,68.06999969482422,2021-07-15
2021-07-16,68.55999755859375,69.27999877929688,66.13999938964844,66.41000366210938,14271100,66.41000366210938,2021-07-16
2021-07-19,65.23999786376953,66.7300033569336,64.6500015258789,66.0199966430664,15830100,66.0199966430664,2021-07-19
2021-07-20,66.25,68.54000091552734,65.81999969482422,67.94000244140625,11583900,67.94000244140625,2021-07-20
2021-07-21,67.58999633789062,69.7699966430664,67.55000305175781,69.54000091552734,10082900,69.54000091552734,2021-07-21
2021-07-22,68.63999938964844,70.12999725341797,68.51000213623047,69.56999969482422,24130400,69.56999969482422,2021-07-22
2021-07-23,72.19999694824219,73.33999633789062,69.87999725341797,71.69000244140625,44275800,71.69000244140625,2021-07-23
2021-07-26,71.25,71.2501,67.47000122070312,68.69000244140625,29185100,68.69000244140625,2021-07-26
2021-07-27,68.31999969482422,69.4800033569336,66.86000061035156,68.33000183105469,16988300,68.33000183105469,2021-07-27
2021-07-28,68.38999938964844,71.91999816894531,67.76000213623047,69.95999908447266,23203600,69.95999908447266,2021-07-28
2021-07-29,69.5,71.58999633789062,69.4999,70.37000274658203,11630000,70.37000274658203,2021-07-29
2021-07-30,69.83000183105469,71.12999725341797,69.5,69.75,13220500,69.75,2021-07-30
2021-08-02,70.2300033569336,70.44000244140625,68.66000366210938,69.12999725341797,12040800,69.12999725341797,2021-08-02
