,Open,High,Low,Close,Volume,Adj. Close,Date Time
2022-04-02 20:58:00,46209.609375,46209.609375,46209.609375,46209.609375,0,46209.609375,2022-04-02 20:58:00
2022-04-02 20:59:00,46203.14453125,46203.14453125,46203.14453125,46203.14453125,23062528,46203.14453125,2022-04-02 20:59:00
2022-04-02 21:00:00,46204.33984375,46204.33984375,46204.33984375,46204.33984375,0,46204.33984375,2022-04-02 21:00:00
2022-04-02 21:02:00,46202.78125,46202.78125,46202.78125,46202.78125,0,46202.78125,2022-04-02 21:02:00
2022-04-02 21:05:00,46166.7109375,46166.7109375,46166.7109375,46166.7109375,0,46166.7109375,2022-04-02 21:05:00
2022-04-02 21:06:00,46160.90625,46160.90625,46160.90625,46160.90625,2037760,46160.90625,2022-04-02 21:06:00
2022-04-02 21:07:00,46162.79296875,46162.79296875,46162.79296875,46162.79296875,0,46162.79296875,2022-04-02 21:07:00
2022-04-02 21:08:00,46171.30078125,46171.30078125,46171.30078125,46171.30078125,21110784,46171.30078125,2022-04-02 21:08:00
2022-04-02 21:10:00,46175.796875,46175.796875,46175.796875,46175.796875,2555904,46175.796875,2022-04-02 21:10:00
2022-04-02 21:11:00,46169.31640625,46169.31640625,46169.31640625,46169.31640625,29634560,46169.31640625,2022-04-02 21:11:00
2022-04-02 21:12:00,46168.0,46168.0,46168.0,46168.0,0,46168.0,2022-04-02 21:12:00
2022-04-02 21:14:00,46154.6328125,46154.6328125,46154.6328125,46154.6328125,0,46154.6328125,2022-04-02 21:14:00
2022-04-02 21:16:00,46148.59765625,46148.59765625,46148.59765625,46148.59765625,0,46148.59765625,2022-04-02 21:16:00
2022-04-02 21:17:00,46146.10546875,46146.10546875,46146.10546875,46146.10546875,12322816,46146.10546875,2022-04-02 21:17:00
2022-04-02 21:19:00,46140.296875,46140.296875,46140.296875,46140.296875,0,46140.296875,2022-04-02 21:19:00
2022-04-02 21:21:00,46135.234375,46135.234375,46135.234375,46135.234375,3883008,46135.234375,2022-04-02 21:21:00
2022-04-02 21:22:00,46120.63671875,46120.63671875,46120.63671875,46120.63671875,0,46120.63671875,2022-04-02 21:22:00
2022-04-02 21:23:00,46118.171875,46118.171875,46118.171875,46118.171875,0,46118.171875,2022-04-02 21:23:00
2022-04-02 21:24:00,46116.33203125,46116.33203125,46116.33203125,46116.33203125,0,46116.33203125,2022-04-02 21:24:00
2022-04-02 21:26:00,46103.36328125,46103.36328125,46103.36328125,46103.36328125,0,46103.36328125,2022-04-02 21:26:00
2022-04-02 21:27:00,46100.57421875,46100.57421875,46100.57421875,46100.57421875,0,46100.57421875,2022-04-02 21:27:00
2022-04-02 21:29:00,46073.96484375,46073.96484375,46073.96484375,46073.96484375,0,46073.96484375,2022-04-02 21:29:00
2022-04-02 21:31:00,46014.01171875,46014.01171875,46014.01171875,46014.01171875,0,46014.01171875,2022-04-02 21:31:00
2022-04-02 21:32:00,46043.8203125,46043.8203125,46043.8203125,46043.8203125,14059520,46043.8203125,2022-04-02 21:32:00
2022-04-02 21:34:00,46070.578125,46070.578125,46070.578125,46070.578125,18104320,46070.578125,2022-04-02 21:34:00
2022-04-02 21:35:00,46071.5703125,46071.5703125,46071.5703125,46071.5703125,24186880,46071.5703125,2022-04-02 21:35:00
2022-04-02 21:36:00,46070.52734375,46070.52734375,46070.52734375,46070.52734375,6144,46070.52734375,2022-04-02 21:36:00
2022-04-02 21:40:00,46207.34375,46207.34375,46207.34375,46207.34375,14987264,46207.34375,2022-04-02 21:40:00
2022-04-02 21:41:00,46231.16796875,46231.16796875,46231.16796875,46231.16796875,40343552,46231.16796875,2022-04-02 21:41:00
2022-04-02 21:44:00,46256.43359375,46256.43359375,46256.43359375,46256.43359375,60608512,46256.43359375,2022-04-02 21:44:00
2022-04-02 21:46:00,46244.19921875,46244.19921875,46244.19921875,46244.19921875,1884160,46244.19921875,2022-04-02 21:46:00
2022-04-02 21:47:00,46239.3515625,46239.3515625,46239.3515625,46239.3515625,9086976,46239.3515625,2022-04-02 21:47:00
2022-04-02 21:48:00,46242.8671875,46242.8671875,46242.8671875,46242.8671875,0,46242.8671875,2022-04-02 21:48:00
2022-04-02 21:50:00,46251.0078125,46251.0078125,46251.0078125,46251.0078125,13441024,46251.0078125,2022-04-02 21:50:00
2022-04-02 21:51:00,46251.96875,46251.96875,46251.96875,46251.96875,0,46251.96875,2022-04-02 21:51:00
2022-04-02 21:53:00,46253.03125,46253.03125,46253.03125,46253.03125,2543616,46253.03125,2022-04-02 21:53:00
2022-04-02 21:55:00,46251.765625,46251.765625,46251.765625,46251.765625,0,46251.765625,2022-04-02 21:55:00
